timestamp,second,proximity to parent,proximity to stranger,fear,freeze
00:05:58,0,1,1,0,
00:05:59,1,1,1,0,
00:06:00,2,1,1,0,
00:06:01,3,1,1,2,
00:06:02,4,1,1,0,
00:06:03,5,1,1,0,
00:06:04,6,1,1,0,
00:06:05,7,1,1,0,
00:06:06,8,1,1,0,
00:06:07,9,1,1,0,
00:06:08,10,1,1,0,
00:06:09,11,1,1,0,
00:06:10,12,1,1,0,
00:06:11,13,1,1,0,
00:06:12,14,1,1,2,
00:06:13,15,1,1,0,
00:06:14,16,1,1,0,
00:06:15,17,1,1,0,
00:06:16,18,1,1,2,0
00:06:17,19,1,1,2,0
00:06:18,20,1,1,2,0
00:06:19,21,1,1,0,
00:06:20,22,1,1,2,
00:06:21,23,1,1,0,
00:06:22,24,1,1,0,
00:06:23,25,1,1,0,
00:06:24,26,1,1,2,
00:06:25,27,1,1,0,
00:06:26,28,1,1,0,
00:06:27,29,1,1,0,
00:06:28,30,1,1,2,0
00:06:29,31,1,1,2,0
00:06:30,32,1,1,2,0
00:06:31,33,1,1,0,
00:06:32,34,1,1,2,0
00:06:33,35,1,1,2,0
00:06:34,36,1,1,0,
00:06:35,37,1,1,0,
00:06:36,38,1,1,0,
00:06:37,39,1,1,2,
00:06:38,40,1,1,0,
00:06:39,41,1,1,0,
00:06:40,42,1,1,0,
00:06:41,43,1,1,0,
00:06:42,44,1,1,2,
00:06:43,45,1,1,0,
00:06:44,46,1,1,0,
00:06:45,47,1,1,0,
00:06:46,48,1,1,0,
00:06:47,49,1,1,2,
00:06:48,50,1,1,0,
00:06:49,51,1,1,0,
00:06:50,52,1,1,0,
00:06:51,53,1,1,0,
00:06:52,54,1,1,0,
00:06:53,55,1,1,0,
00:06:54,56,1,1,2,0
00:06:55,57,1,1,2,0
00:06:56,58,1,1,0,
00:06:57,59,1,1,0,
00:06:58,60,1,1,2,
00:06:59,61,1,1,0,
00:07:00,62,1,1,0,
00:07:01,63,1,1,2,
00:07:02,64,1,1,0,
00:07:03,65,1,1,0,
00:07:04,66,1,1,0,
00:07:05,67,1,1,0,
00:07:06,68,1,1,0,
00:07:07,69,1,1,2,
00:07:08,70,1,1,0,
00:07:09,71,1,1,0,
00:07:10,72,1,1,0,
00:07:11,73,1,1,0,
00:07:12,74,1,1,0,
00:07:13,75,1,1,0,
00:07:14,76,1,1,0,
00:07:15,77,1,1,0,
00:07:16,78,1,1,0,
00:07:17,79,1,1,0,
00:07:18,80,1,1,0,
00:07:19,81,1,1,2,1
00:07:20,82,1,1,2,1
00:07:21,83,1,1,2,0
00:07:22,84,1,1,0,
00:07:23,85,1,1,0,
00:07:24,86,1,1,0,
00:07:25,87,1,1,0,
00:07:26,88,1,1,2,0
00:07:27,89,1,1,2,0
00:07:28,90,1,1,0,
00:07:29,91,1,1,0,
00:07:30,92,1,1,0,
00:07:31,93,,,,
00:07:32,94,0,2,0,
00:07:33,95,0,2,1,
00:07:34,96,0,2,0,
00:07:35,97,,,,
00:07:36,98,,,,
00:07:37,99,1,1,0,
00:07:38,100,1,1,0,
00:07:39,101,1,1,0,
00:07:40,102,1,1,0,
00:07:41,103,1,1,0,
00:07:42,104,1,1,1,0
00:07:43,105,1,1,2,0
00:07:44,106,1,1,2,0
00:07:45,107,1,1,2,1
00:07:46,108,1,1,2,1
00:07:47,109,1,1,0,
00:07:48,110,1,1,0,
00:07:49,111,1,1,0,
00:07:50,112,1,1,0,
00:07:51,113,1,1,0,
00:07:52,114,1,1,0,
00:07:53,115,1,1,1,
00:07:54,116,1,1,0,
00:07:55,117,1,1,2,1
00:07:56,118,1,1,2,1
00:07:57,119,1,1,0,
00:07:58,120,1,1,2,0
00:07:59,121,1,1,2,0
00:08:00,122,1,1,2,0
00:08:01,123,1,1,0,
00:08:02,124,1,1,0,
00:08:03,125,1,1,0,
00:08:04,126,1,1,0,
00:08:05,127,1,1,0,
00:08:06,128,1,1,0,
00:08:07,129,1,1,0,
00:08:08,130,1,1,0,
00:08:09,131,1,1,0,
00:08:10,132,1,1,0,
00:08:11,133,1,1,2,0
00:08:12,134,1,1,2,0
00:08:13,135,1,1,2,0
00:08:14,136,1,1,0,
00:08:15,137,1,1,0,
00:08:16,138,1,1,2,
00:08:17,139,1,1,0,
00:08:18,140,1,1,2,0
00:08:19,141,1,1,2,0
00:08:20,142,1,1,0,
00:08:21,143,1,1,0,
00:08:22,144,1,1,2,1
00:08:23,145,1,1,2,1
00:08:24,146,1,1,2,1
00:08:25,147,1,1,2,1
00:08:26,148,1,1,0,
00:08:27,149,1,1,0,
00:08:28,150,1,1,0,
00:08:29,151,1,1,2,
00:08:30,152,1,1,0,
00:08:31,153,1,1,0,
00:08:32,154,1,1,0,
00:08:33,155,1,1,2,1
00:08:34,156,1,1,2,1
00:08:35,157,1,1,2,1
